solID,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,TV.settimanale_alphas,TV.settimanale_gammas,TV.settimanale_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
2_732_2,2.7365024301527,0.838322449304856,0.00679393372880381,1.34024005885908,0.703307810534251,0.322129707038545,1.92560944958836,0.520625361648405,0.269409790727462,2.08774772179026,0.711915748112737,0.316906506745206,1.25849352415481,0.90934540323303,0.145335102261213,1.16649579366781,0.726961553159466,0.423827301668306,463351.104272302,0,0.18329474403373,0.0753028789674063,0.221601081425268,0.0640747776091334,7220864.474564,0,0.0749380588531494,297.445662021637,2,732,1,2,1464,TRUE,TRUE,3
2_758_1,2.95001981119427,0.978970434814691,0.113418897726409,1.59652846049731,0.564478437573166,0.302638792031593,2.0836181792057,0.682014415668049,0.381759828992962,2.51427019367622,0.853515554129594,0.23095633492936,1.40660224298145,0.94385616357343,0.0054560680197385,1.59733289497764,0.824926127747025,0.335873874580518,903641.08014589,0,0.198536344211009,0.0428118927950227,0.0867656433510672,0.125055566104143,7220864.474564,0,0.121932029724121,308.485333919525,1,758,1,2,1515,TRUE,TRUE,3
2_779_1,2.69121869828727,0.758603847238024,0.0611168185977607,1.21682913225889,0.905290686339364,0.181778441007863,1.81047071174948,0.323993503656083,0.236287716964917,1.77593368851107,0.654196886275658,0.299026212038252,1.60976458212332,0.670864070003542,0.22952409081026,0.699757696614866,0.543875160188379,0.389560169366766,413706.11119554,0,0.179808693155277,0.0884891924721766,0.250927989755757,0.0571988753889125,7220864.474564,0,0.0739071369171143,327.234668016434,1,779,1,2,1557,TRUE,TRUE,3
2_877_1,2.41032250076899,0.814156318425221,0.0208070325623496,1.99981671908129,0.371916216685941,0.326815237411283,0.819598776723667,0.647681006622301,0.333240672162634,2.01263677985876,0.52180917278044,0.39337254599537,1.5235792547611,0.902444857855439,0.239070826525423,0.705209708074934,0.443147318032027,0.48155917336793,26839.8467453692,0,0.139210317234907,0.17579109847919,0.546684043350397,0.00361734698485994,7220864.474564,0,0.0829570293426514,374.433969974518,1,877,0,2,1753,TRUE,TRUE,3
2_892_1,2.41032250076899,0.814156318425221,0.0208070325623496,1.99981671908129,0.371916216685941,0.326815237411283,0.819598776723667,0.647681006622301,0.333240672162634,2.5088090307918,0.52180917278044,0.39337254599537,1.5235792547611,0.902444857855439,0.239070826525423,0.705209708074934,0.443147318032027,0.48155917336793,26839.8467453692,0,0.139084710381212,0.173501345725969,0.547501711241877,0.00361734698485994,7220864.474564,0,0.0743529796600342,380.912286043167,1,892,0,2,1783,TRUE,TRUE,2
2_907_1,2.41032250076899,0.814156318425221,0.0208070325623496,1.99981671908129,0.371916216685941,0.326815237411283,0.819598776723667,0.647681006622301,0.279574295464325,2.75129907107913,0.455646229923002,0.39337254599537,1.5235792547611,0.902444857855439,0.239070826525423,0.705209708074934,0.443147318032027,0.48155917336793,26839.8467453692,0,0.139071868771312,0.172535718953132,0.547585265188739,0.00361734698485994,7220864.474564,0,0.0939490795135498,387.92272901535,1,907,0,2,1813,TRUE,TRUE,1
2_955_1,2.4766820945034,0.869915616589755,0.140762607896027,0.612580516734386,0.581254142153759,0.282818333796407,1.27039287263391,0.658551708857164,0.161065222707668,2.13222531757768,0.661242515817391,0.387513459081996,2.35462260045175,0.55886884005904,0.35241123436931,0.620433744637812,0.439321706113233,0.454456853192978,24769.592782384,0,0.138842670872912,0.177057057575953,0.549075243887286,0.00333061386358624,7220864.474564,0,0.123929023742676,421.506030082703,1,955,0,2,1909,TRUE,TRUE,1
3_582_2,2.63313247907435,0.9222801623503,0.059164440942507,2.74963238088168,0.993745804431257,0.125468425966006,1.69606843592124,0.547088778650831,0.325183568812706,2.06852285067411,0.74351179976807,0.0219234483743254,1.26382176859073,0.615066302266446,0.24754622423531,1.31286906835236,0.440527313164134,0.739791140728617,614760.753710402,0,0.191652973263509,0.0492085131635165,0.148992627035483,0.0850452296167422,7220864.474564,0,0.074958086013794,205.517490148544,2,582,1,3,1164,FALSE,TRUE,1
3_597_2,2.63313247907435,0.9222801623503,0.059164440942507,2.74963238088168,0.993745804431257,0.125468425966006,1.69606843592124,0.547088778650831,0.325183568812706,2.80099565595516,0.841826143282081,0.0489231160604398,1.0037541216931,0.482469907956785,0.30414032300676,1.17503688334207,0.514426538280421,0.739791140728617,614760.753710401,0,0.191760295815071,0.0540120488503253,0.148039259567116,0.0850452296167422,7220864.474564,0,0.0507919788360596,210.687361001968,2,597,1,3,1194,FALSE,TRUE,3
3_627_2,2.63313247907435,0.9222801623503,0.059164440942507,2.74963238088168,0.993745804431257,0.125468425966006,1.69606843592124,0.670538382946025,0.334655778253893,2.58786858891092,0.585838797206802,0.0219234483743254,1.26382176859073,0.615066302266446,0.24754622423531,1.31286906835236,0.440527313164134,0.739791140728617,614760.753710401,0,0.191660641144585,0.0537038525767195,0.148924529434301,0.0850452296167422,7220864.474564,0,0.0739569664001465,221.541615009308,2,627,1,3,1254,FALSE,TRUE,2
