ds,dep_var,trend,season,holiday,C1_Value_Sales,C1_Assortment_number_SKUs,C1_Weighted_anypromo,FB_Price_per_SU_nonpromo,FB_Assortment_number_SKUs,FB_Weighted_anypromo,lockdown,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,TV.settimanale,intercept,depVarHat,solID
2018-01-28,340008.06,106419.489745237,-7337.19018542333,0,2839.76352356716,0,0,0,78854.8070044708,122210.31578961,0,0,5.09198021701692e-07,0,1.90861637928509e-24,89.1890455756199,18580.9217433754,92101.2464634601,413758.543130381,5_944_1
2018-02-04,275541.44,106791.914108649,-5821.26968658455,0,2479.24260935171,0,0,0,80543.1341065816,114393.627212263,0,0,1.08660625060393e-09,0,8.73494571985878e-29,14.8314434595391,18372.9982382397,92101.2464634601,408875.724495421,5_944_1
2018-02-18,557084.75,107536.762835475,3452.36804609456,0,1381.28692805378,0,0,0,84118.4150286986,123466.008733762,0,0,2.31877009227465e-12,0,3.99762244298976e-33,2.45417425399191,18769.0873050787,92101.2464634601,430827.629514876,5_944_1
2018-02-25,450649.09,107909.187198887,2545.93601712211,0,3634.0148409373,0,0,0,84714.2951823848,128394.603539559,0,0,4.94815370134145e-15,0,1.829546022291e-37,0.405761216054036,19088.0838091642,92101.2464634601,438387.772812731,5_944_1
2018-03-04,291850.09,108281.6115623,-3582.87318056322,0,4563.71876041557,0,0,0,80046.5673118431,122492.846702044,0,0,1.0559143027449e-17,0,8.37307348409188e-42,0.067077465334444,19316.5587458143,92101.2464634601,423219.743442779,5_944_1
2018-03-11,278316.31,108654.035925712,-10518.8683401286,0,3041.83823915177,0,0,0,80642.4474655293,108852.882096191,0,0,1.73709418973256,0,20.1998249387656,0.011088504951145,19924.3324951906,92101.2464634601,402719.86235274,5_944_1
2018-03-18,369707.91,109026.460286202,-12912.4296005931,0,2503.92621756721,0,0,0,80741.760824477,117721.213514266,0,0,2.32231727908905,0,22.0559612782769,0.00183302223342786,20335.7600513533,92101.2464634601,409542.317868312,5_944_1
2018-03-25,299064.38,109398.884646692,-9001.02213787886,0,2182.30213710279,0,0,0,78457.55356868,126244.229372699,0,0,2.39337808699874,0,22.0890823624368,0.000303013657821157,20735.1528378266,92101.2464634601,420142.829652045,5_944_1
2018-04-08,627099.06,110143.733367672,3352.08865218061,0,2833.07722911596,0,0,0,82330.7745676401,122712.592967271,0,0,92.7651251396906,0,7.49074857518155,1329.35154786761,20590.2439599015,92101.2464634601,435493.364628823,5_944_1
2018-04-15,506155.69,110516.157728162,4071.85727832045,0,2466.65053670786,0,0,0,79152.7470813138,103296.440818318,0,0,239.756108026065,0,7.18951686310021,1707.84729748184,20586.4951162337,92101.2464634601,414146.387944886,5_944_1
2018-04-22,270416.47,110888.582089696,1444.83638460305,-26333.2745289359,2465.69944636327,0,0,0,79947.2539528954,92701.531602034,0,0,261.166666936587,0,7.18029450386474,1800.95507806657,20609.8969584292,92101.2464634601,375895.074408052,5_944_1
2018-05-06,386205.94,111633.430812765,-2711.27376443518,0,2699.76344428772,0,0,0,80741.760824477,119557.664445088,0,0,263.586092150883,0,0.000328642019102501,1741.11265836595,20293.1925321597,92101.2464634601,426320.483836962,5_944_1
2018-05-13,320725.94,112005.8551743,-2444.2119191284,0,2854.33362644255,0,0,0,80046.5673118431,115602.231671009,0,0,40.4713312337515,0,1.50405824929582e-08,1726.39163224984,20549.0293106104,92101.2464634601,422481.914602036,5_944_1
2018-09-02,637660.13,117964.644958854,10738.0577015438,0,3196.10781943364,0,0,0,86501.9356434434,128535.868995777,0,0,0.0868575507035075,0,6.88345091748001e-13,322.302797067733,20557.213420937,92101.2464634601,459917.464658067,5_944_1
2018-09-09,635109.88,118337.069320389,16831.1868394924,0,3218.02903625138,0,0,0,83522.5348750125,128425.995863163,0,0,0.000185352464765678,0,53616.6195703578,54.4434836195553,21509.4808618169,92101.2464634601,517616.606498915,5_944_1
2018-09-16,436472.44,118709.493633144,16752.6876884479,0,3483.25216599439,0,0,0,83423.2215160648,112023.506780175,0,0,1324.79345608067,0,24720.7647665872,4882.87037433772,22251.4590533263,92101.2464634601,479673.295897618,5_944_1
2018-09-23,670615.75,119081.917945898,12457.6428091617,0,2580.01449374574,0,0,0,86799.8757202864,122665.504481865,0,0,1665.4459095617,0,31309.1928486207,5738.70340338074,22709.2585495293,92101.2464634601,497108.80262551,5_944_1
2018-09-30,674815.19,119454.342258653,7443.06260901116,0,2765.03005303936,0,0,0,87991.6360276588,126416.88715252,0,0,1704.08896435023,0,30892.8558158942,4417.45475026448,23118.7588581132,92101.2464634601,496305.362952964,5_944_1
2018-10-07,521080.88,119826.766571408,3905.77630139084,0,3226.94992113733,0,0,0,89481.3364118742,128849.792231815,0,0,1708.34794449263,0,6070.1608051617,1032.98858495716,22997.2433258065,92101.2464634601,469200.608561503,5_944_1
2018-10-14,377173.09,120199.19089128,1951.32519056097,0,3278.392339103,0,0,0,84912.9219002802,118976.906458418,0,0,3922.02996858499,0,4226.5454995359,183.325577462038,22844.2571934407,92101.2464634601,452596.141482126,5_944_1
2018-10-21,472111.34,120571.615211151,782.783473163077,0,3859.3281785248,0,0,0,85906.0554897572,113546.03447496,0,0,4829.32501331315,0,4554.53497400615,30.6783590094088,22767.1724764594,92101.2464634601,448948.774113805,5_944_1
2018-10-28,495217.28,120944.039531023,15.8748111068876,-3165.65403054651,3844.62734878836,0,0,0,86998.5024381818,124957.144104943,0,0,4911.68794555347,0,4764.63031470428,5.08172777922573,22679.619326049,92101.2464634601,458056.799981043,5_944_1
2018-11-04,496649.06,121316.463850895,-214.759939835249,0,2928.90001825491,0,0,0,86799.8757202864,131188.520340298,0,0,4920.54475382038,0,3082.31678646067,0.840334632832815,22514.6867478398,92101.2464634601,464638.635076113,5_944_1
2018-11-11,422558.63,121688.888170767,19.0426240013976,0,2160.55953372352,0,0,0,82032.834490797,122477.150540242,0,0,4921.51587901393,0,1309.05764951894,571.536718756123,22226.195092534,92101.2464634601,449508.027162814,5_944_1
2018-11-18,400698.63,122061.238574518,100.522626667997,0,3215.76089025871,0,0,0,81436.9543371108,132632.567226073,0,0,5496.77223083653,0,1814.45252668042,1109.06049061769,22021.1758479109,92101.2464634601,461989.751214135,5_944_1
2018-11-25,451195.19,122433.58897827,-567.595401637571,0,2627.97901794858,0,0,0,81536.2676960585,126463.975637925,0,0,5548.66842784261,0,1847.28031188768,1307.64299625153,21828.4854238882,92101.2464634601,455127.539551895,5_944_1
2018-12-02,660539.31,122805.939382022,-1748.12523872046,41446.54954663,2468.71315490831,0,0,0,84118.4150286986,138911.031946834,0,0,5554.2515619812,0,1733.02858542302,7300.18612769547,21841.7345105345,92101.2464634601,516532.971069466,5_944_1
2018-12-16,397959.44,123550.640189525,-1023.53974723305,0,3215.9866912005,0,0,0,81933.5211318493,122900.946908894,0,0,6213.87302117396,0,1687.43738863622,7284.0644519949,21917.3390750243,92101.2464634601,459781.515574525,5_944_1
2018-12-23,420063.03,123922.990537285,1958.12618599365,-15342.9537891856,3237.81493115985,0,0,0,80046.5673118431,110940.471615844,0,0,6262.89966725828,0,1652.1299115769,7319.33249938701,21931.7296466437,92101.2464634601,434030.354981267,5_944_1
2018-12-30,425676.28,124295.340885046,4903.00877697843,-31181.9640887073,2710.6406881074,0,0,0,80940.3875423724,130984.470236873,0,0,6268.07765203868,0,1777.99420668106,7162.05907913014,21484.3852574873,92101.2464634601,441445.646699468,5_944_1
2019-01-13,675532.25,125040.041580568,2146.32316283873,0,3787.2602776287,0,0,0,81536.2676960585,128802.703746409,0,0,4360.29740726981,7121.27907322122,8.43625546292319,3205.74783570936,21471.023360774,92101.2464634601,469580.6268594,5_944_1
2019-01-20,430786.66,125412.391928328,-3209.27913534004,0,5239.18654860785,0,0,0,79947.2539528954,127908.0225237,0,0,890.462986732894,8623.39409758693,3.07612413941069,1631.12944156244,21301.7463598062,92101.2464634601,459848.63129148,5_944_1
2019-01-27,328738.81,125784.742276089,-7076.33583919413,0,4490.60469509412,0,0,0,77464.419979203,122712.592967271,0,0,591.996504101059,9014.26341122801,9.5406670011036,2135.9532862096,21542.0472375352,92101.2464634601,448771.071647998,5_944_1
2019-02-10,551358.13,126529.264980623,-1730.41933013261,0,4122.77146555018,0,0,0,82132.1478497447,113263.503562526,0,0,562.886373975182,3707.61531533513,0.0213952603657241,505.994553864041,20948.4718319082,92101.2464634601,442143.504462114,5_944_1
2019-02-17,534870,126901.52633289,2994.05250611263,0,4337.77590658014,0,0,0,82628.7146444832,114597.677315687,0,0,1.30424061750565,812.347606296784,9.79172610770277e-07,86.5506022420546,20409.9989281823,92101.2464634601,444871.194547532,5_944_1
2019-02-24,410021.53,127273.787685158,3156.6955695928,0,3871.41307289228,0,0,0,81536.2676960585,102103.532521373,0,0,0.00278370199038593,141.827640416303,4.48126700492843e-11,14.3901569083239,19882.9493993701,92101.2464634601,430082.112988931,5_944_1
2019-03-10,471910.97,128018.310389692,-9485.02280444914,0,2903.04790764251,0,0,0,81933.5211318493,125019.92875215,0,0,5.94030030663949e-06,23.6489828253366,2.05089008294616e-15,2.38108433229347,19603.5502688996,92101.2464634601,440120.612182343,5_944_1
2019-03-17,490883.56,128323.471751468,-12966.248273793,0,3137.43767410836,0,0,0,82032.834490797,127076.1259482,0,0,257.280128938356,3.9123530784079,9.38607346471669e-20,0.393674975127556,19370.616540769,92101.2464634601,439337.070752001,5_944_1
2019-03-24,350393.63,128628.633113243,-10073.8223832074,0,7052.11609494743,0,0,0,79649.3138760523,121017.407492665,0,0,339.680495838599,0.646389175243087,4.29561661142283e-24,0.0650794045292675,19134.7932118594,92101.2464634601,437850.079833439,5_944_1
2019-04-07,560183.69,129238.955836795,2721.51784207452,0,3350.70911038695,0,0,0,82628.7146444832,120781.965065637,0,0,853.26256465569,381.121942079712,1.96592559622467e-28,0.0107582062035341,18932.8139515117,92101.2464634601,450990.31817929,5_944_1
2019-04-14,423192.53,129544.11719857,4266.31262804365,0,2776.24460012348,0,0,0,81139.0142602678,120577.914962212,0,0,294.660706052946,617.997316087369,0.0219559787807729,0.00177842106015388,18803.3035287164,92101.2464634601,450120.835397934,5_944_1
2019-04-21,302140.22,129849.278560346,2022.65446009667,-34216.6391067101,2545.57670428945,0,0,0,80245.1940297385,82860.0381522413,0,0,252.436215914627,709.63164325898,0.312928187039034,0.000293987633539783,18658.3678941996,92101.2464634601,375028.09823901,5_944_1
2019-05-05,548192.13,130374.964432627,-2626.09991515987,0,4109.03361041843,0,0,0,85409.4886950187,115821.977936236,0,0,248.028225663517,742.617557179968,0.000677050394727048,4.85985698768392e-05,18707.8001851022,92101.2464634601,444889.057916195,5_944_1
2019-05-12,349300.63,130637.807368768,-2555.73751245981,0,3745.17636495009,0,0,0,80642.4474655293,102134.924844977,0,0,42.5835960338458,188.858267776039,3.09857892982393e-08,8.03374253258449e-06,18979.3906638968,92101.2464634601,425916.697530996,5_944_1
2019-05-19,569935.13,130900.650304909,-1814.54053925932,0,3381.3823856899,0,0,0,87197.1291560772,132522.69409346,0,0,0.0914180520563633,68.7306369986387,1.41809108705537e-12,1.32804358378695e-06,19081.754029798,92101.2464634601,463439.137950513,5_944_1
2019-06-09,447160.66,131689.179113331,355.346959296606,0,7034.49453352433,0,0,0,86104.6822076526,85355.7278787438,0,0,0.000195084618255417,24.359496260451,6.4900148640053e-17,2.19536505246407e-07,18676.2501910068,92101.2464634601,421341.28703858,5_944_1
2019-06-16,696418.13,131888.780596967,68.9591524161456,0,3535.7662645909,0,0,0,87693.6959508157,118333.36382454,0,0,574.673568717402,13.4875526993273,2.97021068106925e-21,3.62911863139524e-08,18365.8171748617,92101.2464634601,452575.790549104,5_944_1
2019-06-23,623819.31,132088.382080603,-1040.51634519564,0,3145.98420480135,0,0,0,86799.8757202864,123717.147322593,0,0,747.111690723531,10.3301753473964,1.3593422626606e-25,5.99923098247255e-09,18328.5828907066,92101.2464634601,455898.144203331,5_944_1
2019-06-30,397367.78,132287.983564239,-1732.10769820085,0,4191.77357687905,0,0,0,84912.9219002802,105289.853367159,0,0,767.425574323207,9.30992282282903,6.22114585619239e-30,9.91722124199322e-10,18134.1950994793,92101.2464634601,435962.601770443,5_944_1
2017-07-09,242669.44,59915.2041944717,26.3953394067547,0,2429.84381871152,0,0,0,48422.627573434,66837.7561917302,0,0,1527.7590802696,0,64.1133734008352,181.284215543019,13669.0453204553,210711.510460425,403785.539567848,2_694_1
2017-07-16,407920.34,60148.5661992624,1266.37059077654,0,1928.2251791344,0,0,0,46947.826733634,61950.2066028873,0,0,1768.74736717339,0,158.503390611916,245.479274578561,16630.3566181029,210711.510460425,401755.792416586,2_694_1
2017-07-23,417560.06,60381.9282040531,895.330466710725,0,1722.37824405774,0,0,0,45718.8260338006,65981.9194493801,0,0,1798.99401168325,0,206.419606029672,52.1732499011635,17271.7520534143,210711.510460425,404741.231779455,2_694_1
2017-08-06,341967.06,60848.6522136345,-5672.83963728078,0,2532.63571579514,0,0,0,62064.5353415842,67786.3945085521,0,0,1420.68001737027,0,143.275508595019,290.917586512023,17879.3791375827,210711.510460425,418005.14085277,2_694_1
2017-08-13,397935.97,61082.0142184252,-7237.14236115614,7222.32798194908,2021.05044898435,0,0,0,59114.9336619842,75839.5089154853,0,0,1373.27600603154,0,124.429031474795,285.678928862435,18137.7765142251,210711.510460425,428675.363806691,2_694_1
2017-08-20,311344.44,61315.3762213894,-4544.59698735653,0,2007.54927074128,0,0,0,57578.6827871925,72581.1425229234,0,0,1367.32441601209,0,118.168037746749,288.571556403277,18303.4744653507,210711.510460425,419727.202750828,2_694_1
2017-09-03,347004.72,61782.1002273179,7689.69716766442,0,2868.69178112665,0,0,0,56841.2823672925,62084.2533215686,0,0,1366.57650653896,0,116.000793483659,362.913764130467,19396.5325656657,210711.510460425,423219.558955214,2_694_1
2017-09-10,356481.91,62015.4622302822,10836.915472343,0,2156.77661270308,0,0,0,55858.0818074258,65755.0711562271,0,0,2102.20180240441,0,1380.12744179642,305.939269454871,19977.4192441785,210711.510460425,431099.50549724,2_694_1
2017-09-17,330868.41,62248.8242332464,10169.565848052,0,2756.8654896794,0,0,0,55796.6317724341,71086.0060453237,0,0,2193.40788941777,0,679.139622086548,303.019616398506,20261.7518975145,210711.510460425,436206.722874578,2_694_1
2017-10-01,474545.88,62715.5482391749,4192.04227136387,0,1674.42246621171,0,0,0,53830.2306527008,75829.1976294329,0,0,2204.8336177076,0,502.350712249707,300.836197593833,20308.1313365792,210711.510460425,432269.103583439,2_694_1
2017-10-08,365555.88,62948.9102312378,2173.6270850002,0,1524.7901649358,0,0,0,55550.8316324674,74499.0417286719,0,0,728.619322404888,0,167.344267948517,241.09968490033,19822.2654703105,210711.510460425,428368.040048302,2_694_1
2017-10-15,356494.56,63182.2722233008,1071.2020042286,0,1749.96737832556,0,0,0,53891.6806876924,79345.3461733052,0,0,560.212287814916,0,99.9884965708937,246.760308308652,19339.3579847052,210711.510460425,430198.298004677,2_694_1
2017-10-29,372853.31,63648.9962074267,-43.7262730864504,-1995.14302080653,1631.41810110594,0,0,0,51433.6792880257,76901.5713788837,0,0,539.745082488905,0,81.3492647574232,326.525373872537,18993.4406159805,210711.510460425,422229.366479073,2_694_1
2017-11-05,324117.53,63882.3581994896,-122.719647004404,0,1571.99189200999,0,0,0,53953.1307226841,70652.9320311224,0,0,842.337408026879,0,119.418158667638,378.900383720978,18744.1295443504,210711.510460425,420733.989153492,2_694_1
2017-11-12,300384.38,64115.7201781431,42.423847816789,0,1419.22173456299,0,0,0,54260.3808976424,67208.962489617,0,0,882.070458546285,0,151.960128467852,3726.39775835162,18461.5467887035,210711.510460425,420980.194742276,2_694_1
2017-11-26,372141.5,64582.4441354501,-480.366139456082,0,1227.9361446848,0,0,0,52048.1796379424,71828.4186410973,0,0,887.081459049806,0,164.761472877591,4857.79054480753,18310.8391681049,210711.510460425,424138.595524983,2_694_1
2017-12-03,632959.06,64815.8061141037,-1213.20258781898,26121.5512707797,1234.66970898619,0,0,0,54444.7310026174,79355.6574593576,0,0,624.054739021666,0,168.939663889191,5278.61978664529,18165.2593481007,210711.510460425,459707.596966107,2_694_1
2017-12-10,596071.25,65049.1680927572,-1388.72379134246,0,1246.33088433754,0,0,0,53400.0804077591,71869.663785307,0,0,311.876205954802,0,7.61095547516188,5281.52200732085,17973.4838362629,210711.510460425,424462.522844257,2_694_1
2017-12-24,293160.75,65515.8920500642,1606.37432858755,-9669.84606519559,2123.51573398443,0,0,0,52232.5297429174,70333.2821634977,0,0,276.833476498255,0,0.341799713779609,5644.05939753829,17624.1477123917,210711.510460425,416398.640800423,2_694_1
2017-12-31,246027.28,65749.2540307982,3283.93375749596,-19909.1181099423,2209.43388554122,0,0,0,51126.4291130674,77293.4002488753,0,0,272.511372217087,0,0.0153476665096222,4404.23294541345,17282.5925007901,210711.510460425,412424.195552348,2_694_1
2018-01-07,346674.91,65982.6160115323,3171.19877258586,0,2614.75452253796,0,0,0,52847.0300928341,72921.4149626529,0,0,12.9804490100441,0,0.000689144406165372,2010.62241256075,16659.9035012749,210711.510460425,426932.031874558,2_694_1
2018-01-21,367249.44,66449.3399730003,-2589.18349314621,0,1908.74614025693,0,0,0,50389.0286931674,74993.9834591876,0,0,0.60299512597946,0,3.0944109703095e-05,495.479005023668,16273.1638748612,210711.510460425,418632.671138846,2_694_1
