solID,dieci_costo_alphas,dieci_costo_gammas,dieci_costo_thetas,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,venti_costo_alphas,venti_costo_gammas,venti_costo_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
3_581_2,0.6238965775755,0.647771927396626,0.0135373634928029,2.75593725433081,0.972799308373377,0.0207274027193826,1.38417591149269,0.557213854022414,0.249642240669104,0.582530055108196,0.559666112823954,0.0458858805655073,2.41187503051529,0.958811535174851,0.108674064925599,0.599275934683495,0.386942586935633,0.0154020716350602,2.63297023025789,0.325621835549353,0.032843241566677,548248.023940764,0,0.148912489633026,0.158498100414191,0.281420788980926,0.0759370638513497,7210993.61728321,0,0.108377933502197,346.45724105835,2,581,1,3,1162,TRUE,TRUE,3
3_591_1,0.786844423190829,0.924306915370688,0.133532646599628,0.854773616236008,0.708188758195382,0.0936894217872604,1.41520651746709,0.764501763270397,0.397217197910869,1.67487869522201,0.343994450829666,0.144212118310716,2.95172850661204,0.784468890574698,0.0291723664122774,2.7580817994616,0.709800108274156,0.307530118521013,2.07664947785447,0.418624471098787,0.107993660677124,28905.1686915153,0,0.103301427030606,0.230583435317894,0.650874957728085,0.00390887712769998,7210993.61728321,0,0.147005081176758,352.598922014236,1,591,0,3,1181,TRUE,TRUE,3
3_626_2,0.6238965775755,0.647771927396626,0.0135373634928029,2.75593725433081,0.972799308373377,0.0207274027193826,1.20444120322196,0.384953927830787,0.283562046233754,0.768050334827215,0.909002612425345,0.0754572578004656,2.41187503051529,0.958811535174851,0.108674064925599,0.599275934683495,0.386942586935633,0.0154020716350602,2.63297023025789,0.325621835549353,0.032843241566677,548248.023940764,0,0.14890818623336,0.158720921490153,0.281462320606134,0.0759370638513497,7210993.61728321,0,0.152574062347412,373.814918041229,2,626,1,3,1252,TRUE,TRUE,3
3_656_2,0.7151952147324,0.647771927396626,0.0135373634928029,2.75593725433081,0.972799308373377,0.0207274027193826,1.20444120322196,0.384953927830787,0.283562046233754,0.768050334827215,0.909002612425345,0.0754572578004656,2.41187503051529,0.958811535174851,0.108674064925599,0.599275934683495,0.386942586935633,0.0154020716350602,2.06012897528572,0.460528164962801,0.0859677365536339,589010.27720052,0,0.150918477325155,0.150358294755617,0.261930550689458,0.0815904220508406,7210993.61728321,0,0.120291948318481,392.197304964066,2,656,1,3,1312,TRUE,TRUE,3
3_666_2,0.504979167957909,0.66593811617454,0.00905464292714484,2.78364517605126,0.893403617088683,0.0336027009009284,1.26147419630219,0.904518650148652,0.364181596496569,0.965925253435335,0.911982249959962,0.198289353803194,1.75868977671058,0.560501777390961,0.0937583997019484,0.836110377964012,0.358207980051524,0.0392408023803753,2.57901735362117,0.3949805370217,0.0476941040584573,519397.509296994,0,0.148040856689449,0.163307025251674,0.289808322317356,0.0719357567478995,7210993.61728321,0,0.10371994972229,398.583877086639,2,666,1,3,1332,TRUE,TRUE,3
3_671_2,0.7151952147324,0.647771927396626,0.0135373634928029,2.75593725433081,0.972799308373377,0.0207274027193826,1.20444120322196,0.384953927830787,0.283562046233754,0.768050334827215,0.909002612425345,0.175605979139999,2.41187503051529,0.958811535174851,0.108674064925599,0.599275934683495,0.386942586935633,0.0154020716350602,2.06012897528572,0.460528164962801,0.0859677365536339,589010.277200519,0,0.150914341333652,0.150161987103219,0.261971004412489,0.0815904220508406,7210993.61728321,0,0.048954963684082,401.26987195015,2,671,1,3,1342,TRUE,TRUE,2
3_672_2,0.802660110813024,0.753090601161197,0.0207591902814929,2.84581962341792,0.99065891021665,0.10076878552528,1.15661957491746,0.472524897506457,0.176309299480173,0.859508058388025,0.738767505507075,0.0231234522208526,2.85451859489468,0.969235957547918,0.168121503216122,0.604400123004818,0.379542733087627,0.037509382406096,2.91242343166736,0.366119227457298,0.0582759923017972,898357.804269162,0,0.160618660692974,0.144570808168133,0.164003613970423,0.124494143969776,7210993.61728321,0,0.0380611419677734,401.494645118713,2,672,1,3,1344,TRUE,TRUE,3
3_681_1,0.786844423190829,0.924306915370688,0.133532646599628,0.854773616236008,0.708188758195382,0.0936894217872604,1.41520651746709,0.764501763270397,0.397217197910869,1.67487869522201,0.343994450829666,0.144212118310716,2.95172850661204,0.784468890574698,0.0291723664122774,1.22050466226353,0.42852640569605,0.0928986656085029,2.47854377846783,0.418624471098787,0.107993660677124,28905.1686915153,0,0.103410888759479,0.225153643721164,0.650134676025882,0.00390887712769998,7210993.61728321,0,0.0433590412139893,403.915655136108,1,681,0,3,1361,TRUE,TRUE,3
3_696_2,0.504979167957909,0.66593811617454,0.00905464292714484,2.78364517605126,0.927170839737882,0.0220313132063088,1.53758142526684,0.509934093350057,0.182126249171629,0.831061125885681,0.884607173116712,0.162265240132545,0.739376854705942,0.871655931428581,0.0937583997019484,0.836110377964012,0.358207980051524,0.0392408023803753,2.57901735362117,0.3949805370217,0.0476941040584573,519397.509296994,0,0.148173811088374,0.161620936189735,0.288532113707276,0.0719357567478995,7210993.61728321,0,0.0831220149993897,408.592468976975,2,696,1,3,1392,TRUE,TRUE,3
3_700_1,0.608208450441443,0.843302456740158,0.0742557346561614,2.77839899592919,0.912846617863988,0.0308263740189503,1.38293047603173,0.416415879348102,0.161096817638381,0.604944999141695,0.765831310286292,0.25492389649605,1.4322649362054,0.754546946679826,0.0945672613895781,0.530576900373622,0.407063532957777,0.00204045853545898,2.72447692238547,0.330547612290958,0.0807466132238898,351589.977028722,0,0.138307649392133,0.183362938048464,0.380124031036433,0.0486623600973322,7210993.61728321,0,0.136425018310547,411.00661611557,1,700,1,3,1399,TRUE,TRUE,1
