solID,mape,decomp.rssd,nrmse,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,dieci_costo,venti_costo,cluster,top_sol
2_762_2,0,0.201494181372713,0.137317417191669,0.143287753786265,0.894633301084712,0,0,0.36764885229826,0.244149835044041,0.446903064604261,3,FALSE
2_776_1,0,0.220626498476071,0.111900528190669,0.378282209615032,0.0933827256243312,0,0,0.466598584266739,0.613673148171612,0.839400097396155,1,FALSE
2_782_1,0,0.222115785680124,0.111889471129227,0.408013765107761,0,0,0,0.586295361793011,0.584331404210715,0.917835022661631,1,FALSE
2_784_2,0,0.155319050348656,0.150338132336104,0.101843395978566,0.881890753929535,0,0.799510309530018,0.277192543636539,0.155320038939561,0.245011421509627,2,FALSE
2_787_2,0,0.183639925576652,0.140600360365678,0.1692971354509,0.759534512094793,0,0.342628816212535,0.363468253150057,0.248484137721369,0.386030624369432,3,FALSE
2_799_2,0,0.154253890459141,0.150382358125782,0.101388180220731,0.88174949767423,0,0.808653330371639,0.244936180219126,0.153224522258551,0.246166821818671,2,FALSE
2_805_1,0,0.265591720025802,0.102234945082208,0.782482178034008,0,0,0,0.599524620004206,0.928557264707388,0.855465570312997,1,FALSE
2_808_1,0,0.144589660995203,0.156691040068674,0.0676104582773237,0.809072744750526,0,0.989194211508919,0.159358892642744,0.106881824927484,0.139815880439096,2,FALSE
2_820_1,0,0.256444872641347,0.102303209587951,0.778572447360285,0,0,0,0.5292571050275,0.788098274138739,0.859551732462297,1,FALSE
2_823_1,0,0.144475488556152,0.15669767024366,0.0681794037483374,0.79230754634298,0,0.991534707011838,0.159974442104364,0.106745839237446,0.139939899857048,2,FALSE
2_838_1,0,0.14757056130172,0.156686669768734,0.0814919717908264,0.786840018002803,0,0.999970185743339,0.159727794672614,0.10699084481792,0.139805678894711,2,FALSE
2_844_2,0,0.154301934664758,0.150377638522947,0.105487487217296,0.772252066293532,0,0.818857964147898,0.231605847646974,0.153601478117507,0.246232077593861,2,FALSE
