solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
4_958_1,season,0.219755518473889,2598.98123790604,5.27602166159156e-05,24.7522022657718,4.37384639864193e-05,2598.98123790604,5.27602166159156e-05,24.7522022657718,4.37384639864193e-05,TRUE,,,0,0.143289629885444,0.178019661293062,0.334662623620135,424556.359459724,0.0587821415965253,7210993.61728321,1,958,1,4,1915,3,,,,,,,,,
4_958_1,trend,0.467777333559647,24102574.0838227,0.489290577060185,229548.324607835,0.405624155022621,24102574.0838227,0.489290577060185,229548.324607835,0.405624155022621,TRUE,,,0,0.143289629885444,0.178019661293062,0.334662623620135,424556.359459724,0.0587821415965253,7210993.61728321,1,958,1,4,1915,3,,,,,,,,,
4_958_1,venti_costo,115893.633987976,957726.37440663,0.019442176124819,9121.20356577743,0.0161176540734007,957726.37440663,0.019442176124819,9121.20356577743,0.0161176540734007,TRUE,0.434605262408362,0.502303699144899,0,0.143289629885444,0.178019661293062,0.334662623620135,424556.359459724,0.0587821415965253,7210993.61728321,1,958,1,4,1915,3,1850606.33285669,41124.5851745932,0.434605262408362,0.502303699144899,0.517986580712499,0.517520316127003,1.93229129144873,21301.9832578074,0.601703566859214
4_959_1,(Intercept),186076.424237711,19538024.5449596,0.396628645180089,186076.424237711,0.337095628255332,19538024.5449596,0.396628645180089,186076.424237711,0.337095628255332,TRUE,,,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,,,,,,,,,
4_959_1,C1_Assortment_number_SKUs,-2688.75355049694,-1545414.87821912,-0.0313724556942136,0,0,-1545414.87821912,-0.0313724556942136,0,0,FALSE,,,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,,,,,,,,,
4_959_1,C1_Value_Sales,-0.0777364984327248,-1327747.01684934,-0.0269537229428201,0,0,-1327747.01684934,-0.0269537229428201,0,0,FALSE,,,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,,,,,,,,,
4_959_1,C1_Weighted_anypromo,-240.967469777514,-1559765.56414696,-0.031663779574162,0,0,-1559765.56414696,-0.031663779574162,0,0,FALSE,,,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,,,,,,,,,
4_959_1,FB_Assortment_number_SKUs,13208.7353426407,12668365.9797732,0.257172204059865,120651.104569269,0.218571267483734,12668365.9797732,0.257172204059865,120651.104569269,0.218571267483734,TRUE,,,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,,,,,,,,,
4_959_1,FB_Price_per_SU_nonpromo,-1962.6874025785,-5009471.56056849,-0.101694002562252,0,0,-5009471.56056849,-0.101694002562252,0,0,FALSE,,,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,,,,,,,,,
4_959_1,FB_Weighted_anypromo,1023.43088587385,7592721.16490063,0.154134861584132,72311.6301419108,0.130999585211905,7592721.16490063,0.154134861584132,72311.6301419108,0.130999585211905,TRUE,,,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,,,,,,,,,
4_959_1,Google.Search,7997.10203282988,95520.0447355029,0.00193908989334123,909.714711766694,0.00164803710922753,95520.0447355029,0.00193908989334123,909.714711766694,0.00164803710922753,TRUE,0.0109741171606309,0.0656487958467812,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,46729.2333333333,445.040317460317,0.0109741171606309,0.0656487958467812,0.902668926933775,2.04411752390908,0.489208662566351,401.724065804171,2.52637973843116
4_959_1,dieci_costo,15807.0433972002,378351.912386928,0.00768067447484278,3603.35154654217,0.00652782349178594,378351.912386928,0.00768067447484278,3603.35154654217,0.00652782349178594,TRUE,0.256521561449433,0.260032828955499,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,1092302.52643962,26007.2030104672,0.256521561449433,0.260032828955499,0.236056604471453,0.346380149481272,2.88700146788887,6139.17203445064,0.100722767387197
4_959_1,holiday,0.127250718272916,-164097.638309851,-0.00333123872427928,-8636.71780578164,-0.0156462583948018,-164097.638309851,-0.00333123872427928,-8636.71780578164,-0.0156462583948018,FALSE,,,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,,,,,,,,,
4_959_1,lockdown,0,0,0,0,0,0,0,0,0,TRUE,,,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,,,,,,,,,
4_959_1,programmatic_behavioural_investments,0,0,0,0,0,0,0,0,0,TRUE,0.119258759924139,0,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,507819.475404496,5770.67585686927,0.119258759924139,0,0,0,Inf,0,0
4_959_1,programmatic_sociodemo_investments,7296.49268903589,99561.029178621,0.00202112327297895,948.200277891628,0.00171775747356059,99561.029178621,0.00202112327297895,948.200277891628,0.00171775747356059,TRUE,0.0400679947153715,0.068426074306615,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,170614.788128043,4374.7381571293,0.0400679947153715,0.068426074306615,0.579521175889997,0.58354278823652,1.71367039428595,2535.25340103041,0.294618977802202
4_959_1,reservation_social_display_investments,19554.7063904814,115935.032008207,0.00235352118472941,1104.14316198293,0.00200026324880888,115935.032008207,0.00235352118472941,1104.14316198293,0.00200026324880888,TRUE,0.0282282854882108,0.0796795611734883,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,120199.75,3004.99375,0.0282282854882108,0.0796795611734883,0.861750346298091,0.964519743245783,1.03678541263948,2589.5544046861,1.05484214379703
4_959_1,reservation_social_video_investments,5337.55233589102,114822.83442589,0.00233094318974164,1093.5508040561,0.00198107415720484,114822.83442589,0.00233094318974164,1093.5508040561,0.00198107415720484,TRUE,0.110344018853852,0.0789151725865169,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,469859.33615301,5729.991904305,0.110344018853852,0.0789151725865169,0.267609691891949,0.244377041363073,4.09203742881186,1533.40136805442,0.126511333546887
4_959_1,season,0.156752862864532,1853.86811854457,3.76341629886315e-05,17.6558868432816,3.19853645738474e-05,1853.86811854457,3.76341629886315e-05,17.6558868432816,3.19853645738474e-05,TRUE,,,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,,,,,,,,,
4_959_1,trend,0.341785684947234,17610760.935214,0.35750452837497,167721.532716324,0.303843948391492,17610760.935214,0.35750452837497,167721.532716324,0.303843948391492,TRUE,,,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,,,,,,,,,
4_959_1,venti_costo,59713.8546609393,650825.092392599,0.0132119741200487,6198.33421326285,0.0112288882071763,650825.092392599,0.0132119741200487,6198.33421326285,0.0112288882071763,TRUE,0.434605262408362,0.447297567131099,0,0.155997574600535,0.147731454782632,0.211415762885884,700675.68777501,0.0970774109679642,7210993.61728321,1,959,1,4,1917,2,1850606.33285669,41124.5851745932,0.434605262408362,0.447297567131099,0.3097915036006,0.351682084318793,2.84347723295885,12740.0470761881,0.432000170947504
4_966_1,(Intercept),15404.8701863491,1617511.36956665,0.0328360393651015,15404.8701863491,0.0271329517431308,1617511.36956665,0.0328360393651015,15404.8701863491,0.0271329517431308,TRUE,,,0,0.14082242482047,0.181496865977127,0.357377339472548,364903.67954011,0.0505088509863099,7210993.61728321,1,966,1,4,1931,2,,,,,,,,,
4_966_1,C1_Assortment_number_SKUs,-2837.91552288704,-1631148.70508979,-0.0331128819854984,0,0,-1631148.70508979,-0.0331128819854984,0,0,FALSE,,,0,0.14082242482047,0.181496865977127,0.357377339472548,364903.67954011,0.0505088509863099,7210993.61728321,1,966,1,4,1931,2,,,,,,,,,
4_966_1,C1_Value_Sales,-0.112717569967391,-1925227.14925512,-0.039082775953927,0,0,-1925227.14925512,-0.039082775953927,0,0,FALSE,,,0,0.14082242482047,0.181496865977127,0.357377339472548,364903.67954011,0.0505088509863099,7210993.61728321,1,966,1,4,1931,2,,,,,,,,,
4_966_1,C1_Weighted_anypromo,-360.700484692828,-2334788.98838275,-0.0473970227190927,0,0,-2334788.98838275,-0.0473970227190927,0,0,FALSE,,,0,0.14082242482047,0.181496865977127,0.357377339472548,364903.67954011,0.0505088509863099,7210993.61728321,1,966,1,4,1931,2,,,,,,,,,
4_966_1,FB_Assortment_number_SKUs,20354.4662727575,19521765.057539,0.396298571970685,185921.571976562,0.327467935751727,19521765.057539,0.396298571970685,185921.571976562,0.327467935751727,TRUE,,,0,0.14082242482047,0.181496865977127,0.357377339472548,364903.67954011,0.0505088509863099,7210993.61728321,1,966,1,4,1931,2,,,,,,,,,
4_966_1,FB_Price_per_SU_nonpromo,-2239.29376234363,-5715468.70045708,-0.116025988298613,0,0,-5715468.70045708,-0.116025988298613,0,0,FALSE,,,0,0.14082242482047,0.181496865977127,0.357377339472548,364903.67954011,0.0505088509863099,7210993.61728321,1,966,1,4,1931,2,,,,,,,,,
