solID,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,TV.settimanale_alphas,TV.settimanale_gammas,TV.settimanale_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
2_558_2,2.63764626890573,0.765751313258482,0.0796137871161011,0.677672665972655,0.422033868736989,0.371370117015358,1.77894813316341,0.869713128331226,0.161196682519023,1.63898095273159,0.861814126875581,0.176745411815066,0.953778264652028,0.686463960859883,0.407927527337002,155554.520764719,0,0.127361857519186,0.413092891032426,0.507689856139691,0.0186118248180738,8313993.751907,0,0.0520009994506836,145.916945934296,2,558,0,2,1116,FALSE,TRUE,1
2_562_1,2.99108854245383,0.763364855249989,0.146584620923026,0.703676685613934,0.740027906239347,0.183916881297677,1.74086707508641,0.780499579375288,0.000135284914777915,2.81696133462522,0.76729038330799,0.15078352490409,0.778009115174872,0.800422659274493,0.355926877084604,45613.1066529366,0,0.120489752799825,0.766426385407879,0.559384021670557,0.00538684382413238,8313993.751907,0,0.0399990081787109,146.800220966339,1,562,0,2,1123,FALSE,TRUE,1
2_569_2,2.78309615845977,0.799807420866999,0.172150891823903,0.934787489324439,0.670993706967691,0.14925607617655,1.62944299008207,0.875106207172519,0.0763762489748147,2.39859590744027,0.899647620905149,0.0769570160938608,0.913145075858721,0.757917248679675,0.411752501011759,128355.112848844,0,0.125953844220968,0.472156813092243,0.518514880500101,0.0153399763009339,8313993.751907,0,0.0520620346069336,148.858942985535,2,569,0,2,1138,FALSE,TRUE,2
2_577_1,2.99108854245383,0.763364855249989,0.146584620923026,0.703676685613934,0.740027906239347,0.187645716360585,1.68099208331147,0.908458300938328,0.085799429269861,2.73579140262056,0.883111769151809,0.15078352490409,0.778009115174872,0.800422659274493,0.355926877084604,45613.1066529366,0,0.120468137965296,0.773418167945791,0.55954209299186,0.00538684382413238,8313993.751907,0,0.0400018692016602,151.102959871292,1,577,0,2,1153,FALSE,TRUE,1
2_580_2,2.71270003879891,0.974137080425868,0.0398572847237665,2.41590096246056,0.341636335634021,0.387173434910456,2.64334496427591,0.545758300962041,0.317990949018198,0.801832711403973,0.859436733109196,0.0768094973943848,0.644925558000523,0.724169961649444,0.454899498323649,276014.086390744,0,0.134050136948897,0.297927000940054,0.45462586213055,0.0331020465312752,8313993.751907,0,0.0779931545257568,152.726125001907,2,580,0,2,1160,FALSE,TRUE,1
2_588_2,2.63764626890573,0.765751313258482,0.0796137871161011,0.677672665972655,0.490094657196394,0.390507118544859,2.50366805355526,0.846464837652146,0.201570252976855,2.88079621753612,0.815382363256699,0.196711155787654,1.06038167793812,0.686463960859883,0.407927527337002,155554.520764719,0,0.127500603769339,0.389618689054773,0.506616640129614,0.0186118248180738,8313993.751907,0,0.043999195098877,155.103939056396,2,588,0,2,1176,FALSE,TRUE,1
2_592_1,2.99108854245383,0.763364855249989,0.146584620923026,1.2081692847069,0.631633493801941,0.339936179094035,1.59176257055302,0.596234081163504,0.197004771336111,2.57396981804833,0.772929223148452,0.0623392871700606,0.689507816458984,0.800422659274493,0.355926877084604,45613.1066529366,0,0.120338122722589,1.01121239463032,0.560492308382446,0.00538684382413238,8313993.751907,0,0.0689268112182617,156.434610843658,1,592,0,2,1183,FALSE,TRUE,2
2_595_2,2.96251015181677,0.878672831263069,0.0869345930775501,1.43685613925396,0.49149800937964,0.393492945121407,2.41115059067934,0.6980808877177,0.384498903601457,0.546645829236081,0.792139276574037,0.0768094973943848,0.644925558000523,0.86289941246976,0.41105390934281,218167.747302722,0,0.131026382988276,0.365262254062376,0.478952255543358,0.0261436429015897,8313993.751907,0,0.0589950084686279,157.516115903854,2,595,0,2,1190,FALSE,TRUE,3
2_623_2,2.76343936131082,0.839743052499808,0.0144577090925677,0.553755536142752,0.435768527116618,0.385780374803527,2.54109682497663,0.989133136031667,0.234941173392755,1.93045229624536,0.894972095009011,0.066070594303654,1.04573770742959,0.344554533232078,0.405023959741425,201242.099565512,0,0.130134547357019,0.352550414127818,0.48602117514265,0.0241076369847734,8313993.751907,0,0.0486118793487549,165.293207883835,2,623,0,2,1246,FALSE,TRUE,1
2_625_2,2.98360875260064,0.880695262734019,0.116529147190425,1.19242421420189,0.722415337817911,0.27766928941631,1.57572329027972,0.93077514810227,0.163796450796394,0.558592809672539,0.779612603156594,0.0768094973943848,0.644925558000523,0.86289941246976,0.41105390934281,317430.911117011,0,0.135674799910903,0.26260853836595,0.44132608402035,0.0380841247068149,8313993.751907,0,0.0370020866394043,165.744221925735,2,625,0,2,1250,FALSE,TRUE,1
2_626_2,2.99161807604332,0.861346348112415,0.214739698528124,1.56749669765361,0.810129292886783,0.0425235089621226,0.95661017198321,0.924851470717121,0.099561253147738,0.607361693048305,0.790826805670006,0.00908713872620576,0.50496606095386,0.90400815679105,0.451318257915746,368931.696265902,0,0.138169480491844,0.242441743645187,0.420592296841401,0.044279214248547,8313993.751907,0,0.0409801006317139,165.98862195015,2,626,0,2,1252,FALSE,TRUE,2
2_627_1,2.55573821680392,0.885329380165925,0.241303926028055,0.742368388911554,0.646099586274035,0.31944947814338,2.0608326045503,0.722069565210159,0.295850730964536,1.27920099358533,0.675416020431053,0.161984425038091,0.677160303419523,0.717039976404598,0.528939933885578,191358.057671627,0,0.129815317570332,0.399651612682883,0.4885397393047,0.0229186740516875,8313993.751907,0,0.0429990291595459,166.185616970062,1,627,0,2,1253,FALSE,TRUE,3
2_638_2,2.67578165125456,0.839243428944815,0.0303038223715703,0.532948414193911,0.317959910589468,0.35046233814521,2.90749780197751,0.989133136031667,0.234941173392755,1.93045229624536,0.894972095009011,0.066070594303654,1.08191105976426,0.437942759030158,0.382328568856166,101935.601313642,0,0.124129206365974,0.470286180828087,0.532363961474495,0.0121619424294847,8313993.751907,0,0.0423638820648193,169.295930862427,2,638,0,2,1276,FALSE,TRUE,1
