solID,mape,decomp.rssd,nrmse,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,DT_costo,PTcosto,cluster,top_sol
2_823_2,0,0.275070400634935,0.167333023462282,0.0747645511472131,0.347219053384423,0,0.920968408843576,0.142566731855094,0.457755284238598,0.0233466922600273,1,FALSE
2_824_2,0,0.309533075196571,0.151841149137355,0.10509485052322,0.576581681152525,0,0.731674093316316,0.364823099313361,0.59632889345659,0.0766270771040462,1,FALSE
2_845_2,0,0.258533907760478,0.174969218278955,0.0397951410745195,0.212784214626359,0,0.612138851633193,0.0550899288947493,0.291531989626999,0.0196243612393416,3,FALSE
2_853_2,0,0.277745302703422,0.167135057022543,0.0916057839284121,0.343742063154775,0,0.919129219868464,0.143364938360657,0.448744614925134,0.0328649759743122,1,FALSE
2_860_2,0,0.256714133843608,0.174989449808323,0.0399211113652673,0.199070774758011,0,0.608329519651805,0.0550966308649435,0.291719048671964,0.0192469604845535,3,FALSE
2_892_2,0,0.27179782599332,0.159549716694175,0.0738495410676446,0.330904234240731,0,0.810348006869067,0.22612929252154,0.519680011111568,0.0449501684829908,1,FALSE
2_894_2,0,0.290500445766042,0.152412602894051,0.116488422344325,0.427580625228734,0,0.862619057344016,0.309491177653576,0.687800929933543,0.0438389817822069,1,FALSE
2_910_2,0,0.291948545709547,0.151727626410314,0.0861787970323097,0.574695338357581,0,0.715972813026523,0.250088850464466,0.623108982789901,0.061690111860041,1,FALSE
2_914_1,0,0.362733953133241,0.149090242458877,0.15888250729343,0.594657271459538,0,0,0.31617343957765,0.686014927962836,0.0752249327612539,2,FALSE
2_920_2,0,0.253237803922243,0.176605759420855,0.0387908146788305,0.116574453786454,0,0.580242062661611,0.0398726459972053,0.260572683192491,0.0157978089717264,3,FALSE
2_922_2,0,0.276748573021508,0.158645814898097,0.0766460953893565,0.340173437780987,0,0.684095801797085,0.237486063848817,0.568827056048101,0.04625534077945,1,FALSE
2_935_1,0,0.259919363788264,0.172204337511128,0.0493255109361112,0.248633959212348,0,0.812778149044996,0.0927268216799647,0.350495857543618,0.0221705692543315,3,FALSE
2_951_2,0,0.268438209415554,0.166614088711815,0.090579859379379,0.242073220967331,0,0.922905968801117,0.118996940838164,0.415261795082055,0.0415260129301595,1,FALSE
2_955_2,0,0.296334580841747,0.151691750498269,0.113700641784679,0.565326676866726,0,0.751693373257043,0.250194633928071,0.62472710034673,0.0619383030036726,1,FALSE
2_959_1,0,0.359239105069995,0.149196001949939,0.144633279660642,0.59492337002636,0,0,0.318979284069519,0.684837547594533,0.0750997295062316,2,FALSE
2_966_2,0,0.269330887115133,0.166568886070355,0.0874735035016726,0.296953899328733,0,0.92740964413519,0.117956608222832,0.415817342380279,0.0416582278491862,1,FALSE
2_974_1,0,0.326881749434984,0.149320615674005,0.176127478043545,0.507647425125159,0,0.589277907336052,0.336532833393475,0.644845265406047,0.0780551120826774,1,FALSE
2_984_2,0,0.759157951924743,0.106882923290352,0.696226831835083,0,0,0,0.897516133560879,0,0.0306185821400139,4,FALSE
2_989_1,0,0.337130242085247,0.149395967672075,0.166625920272082,0.530727452498015,0,0.600312578664334,0.333897562695869,0.535717134987737,0.0804164432018915,1,TRUE
2_990_1,0,0.26126158023668,0.167680663541497,0.057592464523047,0.256620714536563,0,0.725613385394013,0.117600460585626,0.387931846620685,0.0375209643840806,3,FALSE
2_997_2,0,0.257745151545331,0.169476174763741,0.048442537574854,0.23830172436345,0,0.776297556700188,0.117452050179651,0.372630573355484,0.0282315613948087,3,FALSE
3_250_2,0,0.292736244130065,0.157886539606961,0.118522528412274,0.248427548845914,0,0.856670705089891,0.281673803135691,0.553219017486923,0.0472086186515538,1,FALSE
3_643_1,0,0.617471847360025,0.107826594823116,0.755873775907123,0,0,0,0.85778068706416,0,0.274888546612771,4,FALSE
3_790_2,0,0.521916232475753,0.108832844476905,0.619406072544237,0,0,0,0.983313294083565,0.499195307604761,0.325216624489613,4,FALSE
3_805_2,0,0.479461164590683,0.109054398554156,0.459993638710723,0.350108221480368,0,0,0.946144164015533,0.518466052088528,0.316245954262993,2,FALSE
3_835_2,0,0.481923451320041,0.109119889271713,0.355641742862594,0.526016598372665,0,0,0.906681538697664,0.378429472290984,0.319572222146185,2,FALSE
3_850_2,0,0.482688793860469,0.109003386149545,0.531302960662175,0.284278845180787,0,0,0.969401801614508,0.583119098135068,0.309572721361109,4,FALSE
3_859_2,0,0.287106623509966,0.160428889512956,0.0951726991188177,0.160838177459691,0,0.72388207030352,0.233401263157266,0.501351858761146,0.0627941015740603,1,FALSE
3_865_2,0,0.602873789874125,0.107883942253259,0.885410422423649,0,0,0,0.863318937256037,0.0514513702489207,0.498359741489808,4,FALSE
3_889_2,0,0.287106623509966,0.160428889512956,0.0951726991188177,0.160838177459691,0,0.72388207030352,0.233401263157266,0.501351858761146,0.0627941015740604,1,FALSE
3_940_2,0,0.534891425556582,0.107925914613898,1,0,0,0,0.969268024731844,0.788281571050784,0.484429917325485,4,FALSE
3_959_1,0,0.44665337986013,0.114869837006758,0.534039300307868,0.682497890403235,0,0,0.930777415261105,0.844056440136505,0.178431455424728,2,FALSE
3_990_1,0,0.464065006798313,0.114128193311979,0.551078919378633,0.509466411998409,0,0,0.928505660007629,0.693265213487946,0.332592049136064,2,FALSE
4_421_2,0,0.444105731773874,0.11768641772506,0.382424154405572,0.766151219245202,0,0,0.613644213476993,0.763304306190289,0.0714126877684267,2,FALSE
4_584_1,0,0.43992609829331,0.119506744920165,0.204033861941835,0.925863532769412,0,0,0.808360313677282,0.53071222852867,0.085063539514324,2,FALSE
4_599_1,0,0.438464544435159,0.119571160285907,0.215236657339709,0.86891516969884,0,0,0.820671502938829,0.615938989704208,0.0674847448748713,2,FALSE
4_614_1,0,0.439926098293312,0.119506744920165,0.204033861941835,0.925863532769435,0,0,0.808360313677278,0.530712228528661,0.0850635395143239,2,FALSE
4_629_1,0,0.436889007711537,0.119495653594601,0.210471293180924,0.918787856208596,0,0,0.775000932988552,0.664288628808363,0.0555232464761012,2,FALSE
4_632_2,0,0.485437703672497,0.113759638695614,0.406140978385671,0.71756507069338,0,0,0.676240432194728,0.426193601362167,0.0941091883438907,2,FALSE
4_635_2,0,0.478469469804431,0.114944273440118,0.238656596408839,1,0,0,0.721715002404757,0.37431760197711,0.0618579126031582,2,FALSE
4_645_2,0,0.426389731831206,0.120294375909734,0.323860930840026,0.760140232501622,0,0,0.710367527306521,0.837402090927697,0.0667966158983183,2,FALSE
4_662_2,0,0.470120333862531,0.113938718611689,0.355789755019072,0.686454372600667,0,0,0.668430995983199,0.708010868993267,0.0362737778331382,2,FALSE
4_677_2,0,0.47417523838924,0.113908580573951,0.376875105062783,0.71648883779246,0,0,0.707098720961474,0.492988182305753,0.0822993682258602,2,FALSE
4_703_1,0,0.487138915221429,0.112629242617718,0.374641855939399,0.691758551775699,0,0,0.768668588681908,0.441631045502346,0.0770262828912953,2,FALSE
4_721_2,0,0.482581008749444,0.113774713951863,0.422452113282592,0.528192942707692,0,0,0.904110574038757,0.710204082387477,0.0640302913085234,2,FALSE
4_730_1,0,0.436211426147271,0.120004800237301,0.264431824591851,0.97394467164221,0,0,0.720976470725677,0.575903589997897,0.0881689998481247,2,FALSE
4_737_2,0,0.419492289737536,0.120388158889751,0.320528315481324,0.758096098452926,0,0,0.67392033202674,0.753861733359047,0.0914513657668961,2,FALSE
4_756_1,0,0.286072022418817,0.1569466096647,0.0981723223157351,0.458960179098669,0,0.801766790557821,0.274842402051618,0.592277381250021,0.0605451471785663,1,FALSE
4_767_1,0,0.743936688325558,0.106819847817878,0.758354627183753,0,0,0,0.807006376494828,0,0.0586025398934616,4,FALSE
4_767_2,0,0.409143733283146,0.120389503261011,0.29288076400477,0.774869639318815,0,0,0.675189513417641,0.802040548098964,0.0877915806492572,2,FALSE
4_771_1,0,0.282638641224378,0.157034527845006,0.100654383858043,0.37230846386286,0,0.788742073114901,0.278006905150972,0.592818087966458,0.0596395396206683,1,FALSE
4_786_1,0,0.28601492261701,0.156935952811651,0.0980705702810171,0.445805882127553,0,0.794334423382667,0.274799392628125,0.590677010486516,0.0583430246787071,1,FALSE
4_797_2,0,0.407523170877182,0.120365560654698,0.286102775706282,0.764925235368246,0,0,0.679675300864269,0.831902989697073,0.0815620708824776,2,FALSE
4_801_1,0,0.294345682618281,0.155404151022262,0.0959663741558622,0.415065622441679,0,0.578884914634816,0.2651204656129,0.660245783900411,0.0428833522121209,1,FALSE
4_812_2,0,0.408374068354973,0.120387125156821,0.289776846118114,0.728751976928555,0,0,0.680712412797746,0.84533585484869,0.0785157555074959,2,FALSE
4_827_2,0,0.410737924062796,0.120348890399953,0.299698947123196,0.756031792538548,0,0,0.679728550176236,0.832534530039288,0.0816798250679081,2,FALSE
4_842_2,0,0.435445488272243,0.11922988090343,0.305006163359576,0.643331321345903,0,0,0.787268326338852,0.975174890258069,0.0377018052694319,2,FALSE
4_846_1,0,0.286953018471465,0.15693193462163,0.101474953743022,0.445140556160438,0,0.796926744351084,0.274746526306134,0.590776225488973,0.0583546785156653,1,FALSE
4_850_2,0,0.253534657434822,0.179099869817724,0.0348872016272889,0.171793628794764,0,0.47288496116951,0,0.240551904707959,0.0133537214882084,3,FALSE
4_857_2,0,0.255500397340906,0.176918952578929,0.0426222530264327,0.1972071607962,0,0.545755481868547,0.0225202500245204,0.279660203642809,0.0186343929460582,3,FALSE
4_861_1,0,0.28663406052187,0.156912061233674,0.109048301937689,0.44536354103573,0,0.83974169403816,0.221895772420224,0.539696539508254,0.0626553477222862,1,FALSE
4_871_1,0,0.43976056800266,0.117158711826054,0.31813069908815,0.501209498529421,0,0,0.714875817937834,0.688559553642354,0.0739545534016222,2,FALSE
4_876_1,0,0.28615571155906,0.156916905237187,0.0979535522080326,0.445683111999359,0,0.794404968276224,0.274753974096457,0.589499276296387,0.0580309985772411,1,FALSE
4_887_2,0,0.249866519050572,0.176937171538258,0.0352625759566545,0.192924708548873,0,0.542114954823327,0.0226173495913539,0.27966583412649,0.0186004733544107,3,FALSE
4_892_2,0,0.31411666597403,0.149478488951389,0.130546029855421,0.367751057610148,0,0.610553343637382,0.349403490402656,0.617902717844208,0.0539154026440468,1,FALSE
4_893_2,0,0.734667071573974,0.107095002595907,0.668404359905633,0,0,0,0.945033317733823,0,0.043900349556639,4,FALSE
4_895_1,0,0.433835404226025,0.120038960982662,0.264790028543792,0.843709052999958,0,0,0.824301347029266,0.632711402897657,0.0862244858813557,2,FALSE
4_902_2,0,0.253123600134043,0.174632783263214,0.0423456451435921,0.220243214345683,0,0.730842758451883,0.0448140205831711,0.303807333145112,0.0204034079374764,3,FALSE
4_907_2,0,0.315957231581147,0.149467581396261,0.136693030103184,0.279287298517178,0,0.596805077880198,0.352087957481673,0.639744858652067,0.0524197125148048,1,FALSE
4_912_2,0,0.58547547322327,0.108859137511344,0.534522149663954,0.259836745306571,0,0,0.888442937426676,0.266655032442566,0.0782795434844899,4,FALSE
4_914_2,0,0.546157392406838,0.110122997312728,0.46402402712476,0.5389516160899,0,0,0.852802596203575,0.734500556824287,0,2,FALSE
4_917_1,0,0.388610733994022,0.149193802028971,0.188257488486192,0.53777010278266,0,0,0.356630683396763,0.72905028049236,0.0399723662844694,2,TRUE
4_945_1,0,0.461865243424825,0.116895308616891,0.39129886725707,0.787551312912707,0,0,0.734385150980546,0.776527720858206,0.0520118423256897,2,FALSE
4_954_2,0,0.285909146258351,0.161035138247567,0.079788232877646,0.458707570186872,0,0.890441171742279,0.263616459625572,0.512540052591988,0.0561241215277453,1,FALSE
4_955_2,0,0.284725896962355,0.159069385057123,0.0931317901949753,0.437903025649014,0,0.779791068425098,0.213352487415562,0.578335901761931,0.0385399646027729,1,FALSE
4_961_1,0,0.279932637623794,0.163500275868393,0.0935679381516344,0.380802622394166,0,0.784779318549883,0.146921095866513,0.466467040421125,0.0471788443892128,1,FALSE
4_961_2,0,0.292931989296856,0.155114610390809,0.111236505689969,0.512726970345382,0,0.72596037128303,0.24553938872976,0.604360715265489,0.0669774300309868,1,FALSE
4_962_2,0,0.250286463533399,0.178315193259235,0.031657915185313,0.191150358326745,0,0.558192954528882,0.00545733655800425,0.252083010002225,0.014277334322996,3,FALSE
4_975_1,0,0.443236871957279,0.119248597296526,0.360346889921903,0.813263522032649,0,0,0.607251808894425,0.894378704368579,0.043485377706641,2,FALSE
4_980_2,0,0.471182981847666,0.116344255444546,0.466711582174225,0.718238688879938,0,0,0.69034369888821,0.689394402770653,0.0876173653695585,2,FALSE
4_982_2,0,0.309576343548631,0.149332446928834,0.124721126963395,0.283331782285609,0,0.570265146768421,0.35290303015033,0.694259301035449,0.0500700402187229,1,FALSE
4_994_1,0,0.267191504525854,0.168149036918293,0.0512949074856888,0.319587286254055,0,0.75038318443506,0.141785408739146,0.40111970026651,0.0385043918479848,3,FALSE
4_997_2,0,0.307319750036767,0.149296712716375,0.12173143650451,0.337238480362196,0,0.580658090881688,0.351270818560032,0.695162971419085,0.0503249615020366,1,FALSE
4_999_2,0,0.285077243506571,0.161123107039464,0.0801961484020777,0.459302817481047,0,0.894541901041257,0.263789027744003,0.517779746676558,0.0567158529095544,1,FALSE
