solID,DT_costo_alphas,DT_costo_gammas,DT_costo_thetas,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,PTcosto_alphas,PTcosto_gammas,PTcosto_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_877_2,1.77815712979362,0.560232443706154,0.479160863513069,2.86249906363704,0.935487986996676,0.0246917331889954,1.3334985767504,0.540944734303541,0.249394163315969,2.516337277209,0.437082779480903,0.251198505454794,2.93174546381561,0.469893378422288,0.273976112259516,2.65468703969633,0.575731921402069,0.135563944530456,1.06616763955254,0.342139594457428,0.0469782113143397,856434.686244807,0,0.165024921006339,0.278663849434435,0.117506598960145,0.118679784260048,7210993.61728321,0,0.0272908210754395,126.268803834915,2,877,1,1,1754,TRUE,TRUE,3
1_881_1,1.64210167202642,0.554896456416006,0.402416593020618,2.89114492678224,0.961319713947508,0.0242271023609297,2.74428851436152,0.811303736729152,0.356540079549009,2.72742196519093,0.412075808096119,0.222744104182864,2.18505874243528,0.342054444113716,0.967359617639102,0.542907811607389,0.3758974148779,0.280363426578758,0.634934420836649,0.308596746865333,0.0657281633542229,718998.293371296,0,0.162400793629542,0.260216158683062,0.145349218678178,0.0996185917001409,7210993.61728321,0,0.0265579223632813,126.787894964218,1,881,1,1,1761,TRUE,TRUE,1
1_887_2,2.96427720688588,0.345612572874175,0.310108674058709,2.98483866751378,0.938115201878844,0.104658891278862,1.31322210979538,0.708203915898733,0.3199413380369,1.39904156705307,0.366925842478116,0.155497145676836,2.80148592803149,0.79271939286424,0.101389988727576,2.27662924566725,0.711576156938691,0.214676861129644,2.78339369936516,0.536994767355963,0.220624361156962,32867.5436456386,0,0.107176041586912,0.714735691376902,0.62419393474813,0.00445842292423881,7210993.61728321,0,0.0252439975738525,127.623519897461,2,887,0,1,1774,TRUE,TRUE,3
1_895_1,1.92426535860978,0.514388905337531,0.344979515831815,2.83459279629233,0.958200453768122,0.0466688301777487,2.35565545402842,0.776016738589631,0.28553060027987,2.65425506695919,0.399068589571856,0.220936304570242,1.92678904587451,0.404875522363375,0.969501289874258,0.812760871467378,0.363022158716247,0.264260761617725,0.791381035840469,0.335458683557886,0.0219288447847497,371547.260604009,0,0.122374162157359,0.403780079064648,0.510054444825117,0.0514302559744551,7210993.61728321,0,0.034041166305542,128.750494003296,1,895,0,1,1789,TRUE,TRUE,3
1_910_1,1.92426535860978,0.514388905337531,0.344979515831815,2.83459279629233,0.958200453768122,0.0466688301777487,2.35565545402842,0.776016738589631,0.28553060027987,2.65425506695919,0.399068589571856,0.220936304570242,1.93550692673925,0.429978381715005,0.969501289874258,0.812760871467378,0.363022158716246,0.264260761617725,0.791381035840469,0.335458683557886,0.0219288447847497,371547.260604009,0,0.122374777532431,0.402590604319366,0.510049517297379,0.0514302559744551,7210993.61728321,0,0.0500011444091797,130.908854007721,1,910,0,1,1819,TRUE,TRUE,3
1_925_1,1.99133451220217,0.532865018897122,0.344979515831815,2.83459279629233,0.958200453768122,0.0466688301777487,2.35565545402842,0.776016738589631,0.28553060027987,2.65425506695919,0.399068589571856,0.220936304570242,1.93550692673925,0.429978381715005,0.969501289874258,0.812760871467378,0.363022158716246,0.264260761617725,0.791381035840468,0.335458683557886,0.097112007740105,368360.395673574,0,0.122224938342529,0.400361942588359,0.511248601617334,0.0509882664487452,7210993.61728321,0,0.0489311218261719,133.129889965057,1,925,0,1,1849,TRUE,TRUE,2
1_940_1,1.99133451220217,0.532865018897122,0.344979515831815,2.83459279629233,0.965285760420296,0.0592100566044408,1.86275360847812,0.989777918992322,0.293016212249439,0.830318580331836,0.435555576286776,0.164984579132547,1.72405825103545,0.544897607282265,0.969501289874258,0.812760871467378,0.363022158716246,0.264260761617725,0.791381035840468,0.335458683557886,0.097112007740105,368360.395673573,0,0.122163088241127,0.377864539761965,0.511743127127616,0.0509882664487451,7210993.61728321,0,0.0289969444274902,135.25986790657,1,940,0,1,1879,TRUE,TRUE,1
1_963_1,2.82322137363365,0.51098905887877,0.310481769211924,2.89567270963164,0.933754924549813,0.059785901451223,0.710781833584365,0.656846280967651,0.331336236438232,1.21947240417775,0.33816274119332,0.0633232221143604,0.575589798081643,0.947016673096643,0.947213371783303,1.88427934089801,0.930086978174126,0.0547931322957881,2.47150739214323,0.933606801213562,0.196038890250055,81512.2537683144,0,0.108648337065481,0.530000128816596,0.61379799301019,0.0112050070515054,7210993.61728321,0,0.0310790538787842,138.931823015213,1,963,0,1,1925,TRUE,TRUE,2
1_970_1,1.99133451220217,0.532865018897122,0.344979515831815,2.94667525356412,0.857936140198155,0.0610967851781271,1.78968247267221,0.897163741848536,0.207158547814463,1.86644856119862,0.443475149420357,0.117742662290174,1.72405825103545,0.544897607282265,0.969501289874258,0.812760871467378,0.363022158716246,0.264260761617725,0.791381035840468,0.335458683557886,0.097112007740105,368360.395673573,0,0.122136607831982,0.405976176187777,0.511954776008773,0.0509882664487451,7210993.61728321,0,0.0279979705810547,139.925249814987,1,970,0,1,1939,TRUE,TRUE,2
1_978_1,2.82322137363365,0.51098905887877,0.310481769211924,2.89567270963164,0.933754924549813,0.059785901451223,0.710781833584365,0.656846280967651,0.331336236438232,1.21947240417775,0.33816274119332,0.0633232221143604,0.575589798081643,0.947016673096643,0.947213371783303,2.19718225504354,0.527086180969773,0.0503183622285338,2.76231015969269,0.627317683695416,0.311150404763425,81512.2537683144,0,0.108910471721029,0.515671348479578,0.611932174178003,0.0112050070515054,7210993.61728321,0,0.0279829502105713,141.129707813263,1,978,0,1,1955,TRUE,TRUE,1
