solID,mape,decomp.rssd,nrmse,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,DIG_costo,GEN_costo,cluster,top_sol
1_901_2,0,0.51237842103772,0.112647304447117,0.341626491006357,0.767102644963793,0,0,0.894585501582713,0,0.282039137257711,3,FALSE
1_904_1,0,0.323507708001493,0.152574575937751,0.0864133109552195,0.566160722285501,0,0.441709047545708,0.349307309692157,0.601600874100063,0.144664378434219,6,FALSE
1_909_1,0,0.566292078130034,0.110959102425803,0.491437760069059,0.511242940146834,0,0,0.808778485720204,0.147396243472018,0.211693090152467,3,FALSE
1_924_1,0,0.553285288646491,0.111104413842281,0.481439707497771,0.637966264230968,0,0,0.855080728055545,0.159803640472817,0.213992017879717,3,FALSE
1_934_1,0,0.329970880073303,0.15230963889705,0.0884075780341708,0.524802552887731,0,0.40579264397553,0.389890114005461,0.602343496520342,0.144858356387409,6,FALSE
1_938_2,0,0.407388953023398,0.122309462358954,0.212592925717424,0.989341262578001,0,0,0.691730828907331,0.810978126742922,0.175386752207855,5,FALSE
1_959_1,0,0.453228141623779,0.116605597559802,0.273695413380999,0.45065634543974,0,0,0.725280580103432,0.436724927060069,0.202634042242518,5,FALSE
1_961_1,0,0.546804862128548,0.111239687274658,0.389177967460673,0.581468669769743,0,0,0.894747656746748,0,0.240063831738119,3,FALSE
1_968_2,0,0.638070470652363,0.108776977166554,0.459787694438977,0.262452651607048,0,0,0.920897232759498,0,0.148673618881964,7,FALSE
1_976_1,0,0.280214842123785,0.164112767403384,0.0582923265885641,0.32755825940435,0,0.85308102360748,0.18694678216131,0.455301910264491,0.0999988396250412,2,FALSE
1_982_2,0,0.536718413555348,0.111715657262524,0.440404412314218,0.495641682553125,0,0,0.824451432133222,0.453886849284455,0.149134303304829,5,FALSE
1_984_2,0,0.259813796554945,0.173553351820075,0.0137693832091564,0.182974180901452,0,0.664511548935023,0.0914487363916663,0.191580969203544,0.0935057313235233,2,FALSE
1_988_2,0,0.511802217295098,0.113496171640166,0.330980174763037,0.795733398346993,0,0,0.819915017500147,0,0.267051982682888,3,FALSE
1_991_1,0,0.275655188934634,0.164046115774706,0.0585547221238579,0.328325663648434,0,0.846386431456193,0.187287656631086,0.450172706678969,0.107541080928793,2,FALSE
1_994_2,0,0.333065878859843,0.150183687512436,0.0948501630214347,0.650406983042905,0,0.349607029946029,0.349499560373485,0.625478041388679,0.152692758183177,6,FALSE
1_999_1,0,0.356689371557637,0.149500785470761,0.10183879200147,0.493192629143815,0,0,0.339085941595702,0.528741030155628,0.172681906115005,4,FALSE
2_288_1,0,0.488314579625275,0.113883940483385,0.74945327287153,0.233785731446656,0,0,0.954177814521187,0.662548001515155,0.62672667393606,1,FALSE
2_303_1,0,0.485166941599361,0.113892904827598,0.759309507882342,0.247178737745784,0,0,0.941044114644435,0.625248884067399,0.709094578122046,1,FALSE
2_318_1,0,0.466271391956364,0.114026038320439,0.576143407788257,0.424743151332866,0,0,0.928394129450627,0.635105029071093,0.45651686759577,1,FALSE
2_331_1,0,0.577158344004913,0.107674399687709,0.524750846533897,0,0,0,0.642523862756941,0,0.417914267289954,7,FALSE
2_428_2,0,0.456418787849279,0.1142567193808,0.664623053604951,0.547634143530799,0,0,0.965211820647893,0.677857554834346,0.635501469175471,1,TRUE
2_445_1,0,0.552921217436406,0.108517810057472,0.83280872918752,0,0,0,0.895606015839371,0.262155560411782,0.653580160516767,1,FALSE
2_483_1,0,0.564922043908985,0.109705474998779,0.972481258367958,0.0100183060051858,0,0,0.954092171630951,0.24025136574613,0.735830645957075,1,FALSE
2_513_1,0,0.592897510667483,0.108984287033514,1,0,0,0,0.924282421341043,0.466999638638034,0.492869546630939,1,FALSE
2_729_2,0,0.335905348436256,0.15154409078748,0.117071628718009,0.593884001705389,0,0.577503176506522,0.393668373085623,0.352502867979802,0.203455799900661,6,FALSE
2_759_2,0,0.332624379821446,0.151588489777715,0.10382771347658,0.605185732305468,0,0.572944615910651,0.396607630013596,0.350391247171275,0.203295430152747,6,FALSE
2_806_2,0,0.277451327600162,0.165880435148453,0.0496724233838272,0.388683486156637,0,0.6675714048416,0.187024730307108,0.388964051200565,0.124246081557014,2,FALSE
2_843_1,0,0.336980839151104,0.151141016315692,0.114973387484141,0.604402413094815,0,0.406885946843364,0.416642529453878,0.534319756705916,0.17427221873372,6,FALSE
2_849_2,0,0.587829409264594,0.110287484213206,0.466607424797726,0.492722103927946,0,0,0.788663129380824,0,0.209085973810443,3,FALSE
2_851_2,0,0.279733910515458,0.165881934036831,0.0589461646476349,0.345751297905164,0,0.668162572546185,0.187737605276136,0.388678023023496,0.124188880022079,2,FALSE
2_860_2,0,0.368887466702057,0.150186039602333,0.124286264784677,0.60904951764237,0,0,0.434674480321893,0.631845050875053,0.171143849493396,4,FALSE
2_866_1,0,0.694785455227863,0.107099761885146,0.233457250226724,0.576166774668188,0,0,0.807348123274715,0,0,3,FALSE
2_876_2,0,0.472729058617415,0.111194249209021,0.66942435770036,0,0,0,0.973169040965176,0.679963594654969,1,1,FALSE
2_879_2,0,0.5878294092646,0.110287484213206,0.46660742479773,0.492722103927883,0,0,0.788663129380812,0,0.209085973810443,3,FALSE
2_911_1,0,0.693950061079543,0.10709940895109,0.227421449036193,0.579175043897765,0,0,0.806675323215558,0,0,3,FALSE
2_919_1,0,0.332248866851536,0.15108572172494,0.102630775844557,0.625495013684955,0,0.471597016123301,0.388717831798546,0.401720119913355,0.201388218812702,6,FALSE
2_927_2,0,0.285544524925325,0.162576123593359,0.0738797164969485,0.398867303118206,0,0.761581521606589,0.195047311610322,0.370519306897711,0.135624945077448,2,FALSE
2_934_1,0,0.331963498235021,0.151144522151747,0.104753301673531,0.58816527496699,0,0.48491611161558,0.401759220447034,0.401086568222658,0.20130426072678,6,FALSE
2_936_2,0,0.494690300904103,0.111248384670679,0.788615261302329,0,0,0,1,0.680016727947147,0.734164426963782,1,FALSE
2_979_1,0,0.335976932801807,0.151184401265546,0.0870548419407973,0.590243837730059,0,0.489085571145908,0.398623463412399,0.333578898066136,0.199033697826821,6,FALSE
2_994_1,0,0.331530008655054,0.15119687242652,0.104888919017388,0.587863161205621,0,0.48837138700495,0.401477862313202,0.404943870280493,0.199838613308667,6,FALSE
3_268_1,0,0.383274325507287,0.148073424454228,0.187490373726053,0.577326412897335,0,0,0.352021003939689,0.644614863874014,0.179429527842503,4,TRUE
3_298_1,0,0.383274325507287,0.148073424454228,0.187490373726053,0.577326412897335,0,0,0.352021003939689,0.644614863874014,0.179429527842503,4,FALSE
3_408_1,0,0.259616013473875,0.169249770082919,0.0301790243033282,0.299872502028208,0,0.882737724339347,0.107054889043242,0.359764480938954,0.087550681724316,2,FALSE
3_412_2,0,0.276213217041462,0.167887305124381,0.056276631420886,0.309495686185038,0,0.819102958069978,0.124628128085906,0.393996570687923,0.0930332136410254,2,FALSE
3_423_1,0,0.286940355795232,0.16380622923398,0.060496542581669,0.257497489576511,0,0.910240422946812,0.216450562416732,0.351847890345552,0.103184638137526,2,FALSE
3_512_2,0,0.366533392532089,0.149472528077028,0.142456846017752,0.580893526389242,0,0,0.333777599714738,0.560798465378374,0.186359860551036,4,FALSE
3_541_1,0,0.278536501659582,0.167243910673257,0.0570877030675214,0.308097237439887,0,0.976199610282987,0.180805982604739,0.355268377023811,0.101719625163065,2,FALSE
3_552_2,0,0.356820688825151,0.150397715854322,0.101094091269424,0.29093967404121,0,0,0.392807593456645,0.667408079597709,0.176311374399093,4,FALSE
3_577_1,0,0.694420060318755,0.10767624391371,0.217862030880981,0.507097764689894,0,0,0.655569572314162,0.00304401391198607,0,3,FALSE
3_597_2,0,0.699680790118936,0.107359568182011,0.514427314190716,0,0,0,0.843525358327531,0,0.129383948824815,7,FALSE
3_627_2,0,0.359034433635327,0.150331472383997,0.0999490194379872,0.29010892603059,0,0,0.392198368840696,0.660761429394464,0.169529695193269,4,FALSE
3_640_2,0,0.373414478231842,0.149517352729309,0.161675645290631,0.581184838471919,0,0,0.361244719046433,0.559614328225658,0.194623031284184,4,FALSE
3_685_1,0,0.423343665280941,0.122230610802559,0.30381405794378,0.792507681636922,0,0,0.712644138835405,0.54618455143463,0.260043384962895,5,TRUE
3_747_1,0,0.51216639370841,0.113146718477285,0.331056465628333,0.787438652998185,0,0,0.863185967451765,0.660476130994769,0.0779904539765489,5,FALSE
3_751_2,0,0.462768637091484,0.115492167636385,0.328738350166096,0.838981596075565,0,0,0.887231543525497,0.508730777767559,0.199568564566952,5,FALSE
3_752_2,0,0.368082510006228,0.150295217363468,0.120727569510987,0.257755987967699,0,0.112371075098323,0.361654898183459,0.636572978748384,0.138543682834012,4,FALSE
3_759_2,0,0.292715731517551,0.156879115901063,0.0793965609362103,0.232568039222882,0,0.602661397550657,0.237202536725763,0.444376254361408,0.142611845182798,2,FALSE
3_771_1,0,0.262733909345217,0.169636683305986,0.0273470053459244,0.318197946627103,0,0.69645331624256,0.112692150759219,0.335658333345857,0.0935736887815504,2,FALSE
3_780_2,0,0.345622810742412,0.150920240853537,0.148836759564763,0.319182222761059,0,0.396193403324695,0.323047122990126,0.490140743182357,0.173458965783228,6,TRUE
3_789_2,0,0.290036299578289,0.156830677467635,0.0763484115633477,0.328951429629779,0,0.603510848477571,0.234880894595578,0.448067936823682,0.143003401862259,2,FALSE
3_810_1,0,0.275582041267582,0.164894533840938,0.0448135011700122,0.379755233621482,0,0.70875092874285,0.213516157200455,0.405661322713579,0.124470782746189,2,FALSE
3_813_2,0,0.690462494275545,0.107852299189032,0.603580308710664,0,0,0,0.968387998208392,0,0.167244603079403,7,FALSE
3_817_2,0,0.464560903359081,0.114148402884334,0.282176547389411,0.927623418090547,0,0,0.8192353529456,0.398421446993897,0.186139413183534,5,FALSE
3_819_2,0,0.258392992208208,0.170004190933331,0.034272363678424,0.291231133416277,0,0.821271395185529,0.0972353240020116,0.340152757351685,0.091534252737857,2,FALSE
