solID,DIG_costo_alphas,DIG_costo_gammas,DIG_costo_thetas,GEN_costo_alphas,GEN_costo_gammas,GEN_costo_thetas,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
2_428_2,1.98738810641455,0.645349889057024,0.409507165011007,0.538346775113871,0.338398685987822,0.941127086845746,2.2520172458154,0.787219885094071,0.0751505184327565,2.87495039510973,0.425451710338291,0.363863267508256,0.57584454072333,0.961189344858774,0.16449073684443,1.02013672277405,0.438889259668359,0.00159930673216785,1.06531754303545,0.443616517286654,0.298211587112373,200797.290129699,0,0.1142567193808,0.456418787849279,0.572897749779578,0.027748769588205,7210993.61728321,0,0.0320830345153809,63.7660551071167,2,428,0,2,856,TRUE,TRUE,1
2_445_1,2.52017874612487,0.441505639861542,0.342218149921095,1.36639928600435,0.863408389725451,0.976330404980534,2.02328928355875,0.855284091719934,0.105626141249727,1.90829313556992,0.560559510811406,0.195611039220291,1.3248341004048,0.760892644993203,0.273094340913449,0.957516687527895,0.619190037950011,0.0352036688479836,1.43424214261547,0.638692981153941,0.286816480187558,67877.5855110611,0,0.108517810057472,0.552921217436406,0.614725379721816,0.0093140010980739,7210993.61728321,0,0.0276041030883789,66.1967051029205,1,445,0,2,889,TRUE,TRUE,1
2_483_1,1.83552042930333,0.639756039783813,0.455459841073095,1.80471655409502,0.728818390805143,0.981675947363301,1.79832143908522,0.760448618898203,0.145856340513354,1.83118150264449,0.542921277866662,0.305222149396653,1.08285585330689,0.777853660818778,0.371951859640153,1.1739005679254,0.786200113313147,0.0627168852780624,1.31279706136395,0.378413532807633,0.239919508328182,104884.893437112,0,0.109705474998779,0.564922043908985,0.606246013647384,0.0144465821252219,7210993.61728321,0,0.0290031433105469,71.6352560520172,1,483,0,2,965,TRUE,TRUE,2
2_513_1,1.83552042930333,0.639756039783813,0.455459841073095,1.80471655409502,0.728818390805143,0.981675947363301,2.92849179373344,0.679080816101932,0.366735597453718,0.557314771312917,0.540410707458847,0.22295193608585,1.25431962748027,0.777853660818778,0.371951859640153,1.1739005679254,0.786200113313147,0.0627168852780624,1.31279706136395,0.378413532807633,0.239919508328182,104884.893437112,0,0.108984287033514,0.592897510667483,0.611405961138409,0.0144465821252219,7210993.61728321,0,0.0299661159515381,76.3497450351715,1,513,0,2,1025,TRUE,TRUE,2
2_729_2,1.07326361350522,0.60827814206147,0.697553845734406,2.76832293154023,0.796907359308705,0.122119681121622,2.92169453174316,0.95758317580263,0.179467783630537,1.01597677569264,0.704532733666588,0.367259393826711,0.708967980115276,0.623081433098257,0.039098541629195,0.979492308864032,0.329960314640609,0.117724688655775,0.708092297825343,0.310079394027082,0.0904243227855717,455886.382145742,0,0.15154409078748,0.335905348436256,0.255798720485152,0.0631273341822625,7210993.61728321,0,0.0290689468383789,108.278753042221,2,729,1,2,1458,TRUE,TRUE,3
2_759_2,1.07326361350522,0.60827814206147,0.697553845734406,2.76832293154023,0.796907359308705,0.122119681121622,2.91577657299734,0.944882083967405,0.12313478449033,1.017977032021,0.494883910665153,0.329287641402008,0.595340391926608,0.72907484703125,0.115359452662727,0.979492308864032,0.329960314640609,0.117724688655775,0.708092297825343,0.310079394027082,0.0904243227855717,455886.382145741,0,0.151588489777715,0.332624379821446,0.255362588328252,0.0631273341822625,7210993.61728321,0,0.0267350673675537,112.695950031281,2,759,1,2,1518,TRUE,TRUE,3
2_806_2,2.04417354582257,0.641479627097803,0.538931155141726,2.81099799636457,0.841080821065362,0.137934700756173,2.85389322326593,0.877547016901392,0.017109010229563,2.48365788767352,0.543691371996125,0.299478703337487,1.34014036568331,0.393142444527304,0.0490157133753348,1.41658034211682,0.304457088164142,0.375782911926693,0.714889814969184,0.743024781860067,0.0436038010210911,905226.170209967,0,0.165880435148453,0.277451327600162,0.108332923129753,0.125446724600221,7210993.61728321,0,0.0240001678466797,119.745742082596,2,806,1,2,1612,TRUE,TRUE,2
2_843_1,1.4441778880325,0.44066362959413,0.350710815476129,2.37722213439333,0.967140360992707,0.237677390836447,2.97919675935521,0.923573877260077,0.159642933840379,1.11019073348835,0.659842015676573,0.355633687686414,0.670477321034635,0.64345661790732,0.0366477373913646,0.859283814807274,0.343285012575253,0.102175238319352,0.718983102337483,0.337094111687903,0.103291198301445,445589.535799335,0,0.151141016315692,0.336980839151104,0.259752284235534,0.0616992541310838,7210993.61728321,0,0.0277860164642334,124.885447978973,1,843,1,2,1685,TRUE,TRUE,2
2_849_2,1.07326361350522,0.60827814206147,0.697553845734406,2.76832293154023,0.796907359308705,0.122119681121622,2.91577657299734,0.944882083967405,0.12313478449033,1.017977032021,0.494883910665153,0.329287641402008,0.595340391926608,0.72907484703125,0.115359452662727,0.979492308864032,0.341942731464972,0.0817402182755419,1.47678383969533,0.349344693159721,0.149924744266443,105732.718996068,0,0.110287484213206,0.587829409264594,0.602057046046278,0.0145641679108977,7210993.61728321,0,0.0260779857635498,125.727582931519,2,849,0,2,1698,TRUE,TRUE,3
2_851_2,2.04417354582257,0.641479627097803,0.538931155141726,2.81099799636457,0.841080821065362,0.137934700756173,2.85389322326593,0.890248108736618,0.0734420093697694,2.48165763134516,0.75334019499756,0.196025738566205,1.64444873772519,0.393142444527304,0.0490157133753348,1.41658034211682,0.304457088164142,0.375782911926693,0.714889814969184,0.743024781860067,0.043603801021091,905226.170209966,0,0.165881934036831,0.279733910515458,0.1083168089273,0.125446724600221,7210993.61728321,0,0.0267670154571533,125.999201059341,2,851,1,2,1702,TRUE,TRUE,3
